ID,Field 1,Common,4-letter,Field4,Field5,Field6,Field7
1747,,"Common Bush-Tanager","COBT",,"Chlorospingus ophthalmicus","CHLOPH",
1748,,"Tacarcuna Bush-Tanager","TABT",,"Chlorospingus tacarcunae","CHLTAC",
1749,,"Pirre Bush-Tanager","PIBT",,"Chlorospingus inornatus","CHLINO",
1750,,"Sooty-capped Bush-Tanager","SCBT",,"Chlorospingus pileatus","CHLPIL",
1751,,"Yellow-throated Bush-Tanager","YTBT",,"Chlorospingus flavigularis","CHLFLG","*"
1752,,"Ashy-throated Bush-Tanager","ATBT",,"Chlorospingus canigularis","CHLCAG","*"
1753,,"Yellow-backed Tanager","YBTA",,"Hemithraupis flavicollis","HEMFLC","*"
1754,,"Black-and-yellow Tanager","BAYT",,"Chrysothlypis chrysomelas","CHRCHR",
1755,,"Black-crowned Palm-Tanager","BPLT","**","Phaenicophilus palmarum","PHAPAL",
1756,,"Gray-crowned Palm-Tanager","GCPT",,"Phaenicophilus poliocephalus","PHAPOL",
1757,,"Western Chat-Tanager","WECT",,"Calyptophilus tertius","CALTER",
1758,,"Eastern Chat-Tanager","EACT",,"Calyptophilus frugivorus","CALFRU",
1759,,"Rosy Thrush-Tanager","ROTT",,"Rhodinocichla rosea","RHNROS","**"
1760,,"Dusky-faced Tanager","DFTA",,"Mitrospingus cassinii","MITCAS",
1761,,"Olive Tanager","OLTA",,"Chlorothraupis carmioli","CHLCAR",
1762,,"Lemon-spectacled Tanager","LSTA",,"Chlorothraupis olivacea","CHLOLI",
1763,,"Gray-headed Tanager","GHET","*","Eucometis penicillata","EUCPEN",
1764,,"Black-throated Shrike-Tanager","BTST",,"Lanio aurantius","LANAUR",
1765,,"White-throated Shrike-Tanager","WTST",,"Lanio leucothorax","LANLEU",
1766,,"Sulphur-rumped Tanager","SRTA",,"Heterospingus rubrifrons","HETRUB",
1767,,"Scarlet-browed Tanager","SBTA",,"Heterospingus xanthopygius","HETXAN",
1768,,"White-shouldered Tanager","WSTA",,"Tachyphonus luctuosus","TACLUC",
1769,,"Tawny-crested Tanager","TCTA",,"Tachyphonus delatrii","TACDEL",
1770,,"White-lined Tanager","WLTA",,"Tachyphonus rufus","TACRUF",
1771,,"Red-crowned Ant-Tanager","RCAT",,"Habia rubica","HABRUB",
1772,,"Red-throated Ant-Tanager","RTAT",,"Habia fuscicauda","HABFUS",
1773,,"Black-cheeked Ant-Tanager","BCAT",,"Habia atrimaxillaris","HABATR",
1774,,"Rose-throated Tanager","RTTA",,"Piranga roseogularis","PIRROS",
1775,,"Hepatic Tanager","HETA",,"Piranga flava","PIRFLA",
1776,,"Summer Tanager","SUTA",,"Piranga rubra","PIRRUB",
1777,,"Scarlet Tanager","SCTA",,"Piranga olivacea","PIROLI",
1778,,"Western Tanager","WETA",,"Piranga ludoviciana","PIRLUD",
1779,,"Flame-colored Tanager","FCTA",,"Piranga bidentata","PIRBID",
1780,,"White-winged Tanager","WWTA",,"Piranga leucoptera","PIRLEU",
1781,,"Red-headed Tanager","RHTA",,"Piranga erythrocephala","PIRERY",
1782,"+","Unidentified Piranga Tanager","UPTA",,"Piranga (sp)","PIRSPE",
1783,,"Crimson-collared Tanager","CCTA",,"Ramphocelus sanguinolentus","RAMSAN",
1784,,"Crimson-backed Tanager","CBTA",,"Ramphocelus dimidiatus","RAMDIM",
1785,,"Passerini's Tanager","PAST","*","Ramphocelus passerinii","RAMPAS",
1786,,"Cherrie's Tanager","CHET","*","Ramphocelus costaricensis","RAMCOS",
1787,,"Flame-rumped Tanager","FRTA",,"Ramphocelus flammigerus","RAMFLA",
1788,,"Western Spindalis","WESP",,"Spindalis zena","SPIZEN",
1789,,"Jamaican Spindalis","JAMS","*","Spindalis nigricephala","SPINIG",
1790,,"Hispaniolan Spindalis","HISP",,"Spindalis dominicensis","SPIDOM",
1791,,"Puerto Rican Spindalis","PRSP",,"Spindalis portoricensis","SPIPOR",
1792,,"Blue-gray Tanager","BGTA",,"Thraupis episcopus","THREPI",
1793,,"Yellow-winged Tanager","YWTA",,"Thraupis abbas","THRABB",
1794,,"Palm Tanager","PALT","*","Thraupis palmarum","THRPAL",
1795,,"Blue-and-gold Tanager","BAGT",,"Bangsia arcaei","BANARC",
1796,,"Plain-colored Tanager","PCTA",,"Tangara inornata","TANINO",
1797,,"Azure-rumped Tanager","ARTA",,"Tangara cabanisi","TANCAB",
1798,,"Gray-and-gold Tanager","GAGT",,"Tangara palmeri","TANPAL",
1799,,"Emerald Tanager","EMTA",,"Tangara florida","TANFLO",
1800,,"Silver-throated Tanager","STTA",,"Tangara icterocephala","TANICT",
1801,,"Speckled Tanager","SPTA",,"Tangara guttata","TANGUT",
1802,,"Bay-headed Tanager","BHTA",,"Tangara gyrola","TANGYR",
1803,,"Rufous-winged Tanager","RWTA",,"Tangara lavinia","TANLAV",
1804,,"Lesser Antillean Tanager","LATA",,"Tangara cucullata","TANCUC",
1805,,"Golden-hooded Tanager","GHOT","*","Tangara larvata","TANLAR",
1806,,"Spangle-cheeked Tanager","SCHT","*","Tangara dowii","TANDOW",
1807,,"Green-naped Tanager","GNTA",,"Tangara fucosa","TANFUC",
1808,,"Scarlet-thighed Dacnis","STDA",,"Dacnis venusta","DACVEN",
1809,,"Blue Dacnis","BLDA",,"Dacnis cayana","DACCAY",
1810,,"Viridian Dacnis","VIDA",,"Dacnis viguieri","DACVIG",
1811,,"Green Honeycreeper","GRHO",,"Chlorophanes spiza","CHLSPI",
1812,,"Shining Honeycreeper","SHHO",,"Cyanerpes lucidus","CYALUC",
1813,,"Purple Honeycreeper","PUHO",,"Cyanerpes caeruleus","CYACAE",
1814,,"Red-legged Honeycreeper","RLHO",,"Cyanerpes cyaneus","CYACYU","*"
1815,,"Swallow Tanager","SWTA",,"Tersina viridis","TERVIR",
1816,,"Blue-black Grassquit","BGRA","**","Volatinia jacarina","VOLJAC",
1817,,"Slate-colored Seedeater","SCSE",,"Sporophila schistacea","SPOSCH",
1818,,"Variable Seedeater","VASE",,"Sporophila americana","SPOAME",
1819,,"White-collared Seedeater","WCSE",,"Sporophila torqueola","SPOTOR",
1820,,"Yellow-bellied Seedeater","YBSE",,"Sporophila nigricollis","SPONIG",
1821,,"Ruddy-breasted Seedeater","RBSE",,"Sporophila minuta","SPOMIN",
1822,,"Nicaraguan Seed-Finch","NISF",,"Oryzoborus nuttingi","ORYNUT",
1823,,"Thick-billed Seed-Finch","TBSF",,"Oryzoborus funereus","ORYFUN",
1824,,"Blue Seedeater","BLSE",,"Amaurospiza concolor","AMSCON","**"
1825,,"Cuban Bullfinch","CUBU",,"Melopyrrha nigra","MEPNIG","**"
1826,,"Cuban Grassquit","CUGR",,"Tiaris canorus","TIACAN",
1827,,"Yellow-faced Grassquit","YFGR",,"Tiaris olivaceus","TIAOLI",
1828,,"Black-faced Grassquit","BFGR",,"Tiaris bicolor","TIABIC",
1829,,"Yellow-shouldered Grassquit","YSGR",,"Loxipasser anoxanthus","LOXANO",
1830,,"Puerto Rican Bullfinch","PRBU",,"Loxigilla portoricensis","LOXPOR",
1831,,"Greater Antillean Bullfinch","GABU",,"Loxigilla violacea","LOXVIO",
1832,,"Lesser Antillean Bullfinch","LANB","*","Loxigilla noctis","LOXNOC",
1833,,"Barbados Bullfinch","BABU",,"Loxigilla barbadensis","LOXBAD",
1834,,"Orangequit","ORAN",,"Euneornis campestris","EUNCAM",
1835,,"St. Lucia Black Finch","SLBF",,"Melanospiza richardsoni","MELRIC",
1836,,"Cocos Finch","COFI",,"Pinaroloxias inornata","PININO",
1837,,"Slaty Finch","SLFI",,"Haplospiza rustica","HAPRUS",
1838,,"Peg-billed Finch","PBFI",,"Acanthidops bairdii","ACABAI",
1839,,"Cinnamon-bellied Flowerpiercer","CBFL",,"Diglossa baritula","DIGBAR",
1840,,"Slaty Flowerpiercer","SLFL",,"Diglossa plumbea","DIGPLU",
1841,,"Saffron Finch","SAFI",,"Sicalis flaveola","SICFLA",
1842,,"Grassland Yellow-Finch","GRYF",,"Sicalis luteola","SICLUT",
1843,,"Wedge-tailed Grass-Finch","WTGF",,"Emberizoides herbicola","EMBHER",
1844,,"Red-crested Cardinal","RCCA",,"Paroaria coronata","PARCOR",
1845,,"Yellow-billed Cardinal","YBCA",,"Paroaria capitata","PARCAP",
1846,,"Sooty-faced Finch","SFFI",,"Lysurus crassirostris","LYSCRA",
1847,,"Yellow-thighed Finch","YTFI",,"Pselliophorus tibialis","PSETIB",
1848,,"Yellow-green Finch","YGFI",,"Pselliophorus luteoviridis","PSELUT",
1849,,"Large-footed Finch","LFFI",,"Pezopetes capitalis","PEZCAP",
1850,,"White-naped Brush-Finch","WNBF",,"Atlapetes albinucha","ATLALB",
1851,,"Rufous-capped Brush-Finch","RCBF",,"Atlapetes pileatus","ATLPIL",
1852,,"Chestnut-capped Brush-Finch","CCBF",,"Buarremon brunneinucha","BUABRU",
1853,,"Green-striped Brush-Finch","GSBF",,"Buarremon virenticeps","BUAVIR",
1854,,"Stripe-headed Brush-Finch","SHBF",,"Buarremon torquatus","BUATOR",
1855,,"Orange-billed Sparrow","OBSP",,"Arremon aurantiirostris","ARRAUR",
1856,,"Olive Sparrow","OLSP",,"Arremonops rufivirgatus","ARRRUF",
1857,,"Green-backed Sparrow","GBSP",,"Arremonops chloronotus","ARRCHL",
1858,,"Black-striped Sparrow","BSTS","*","Arremonops conirostris","ARRCON",
1859,,"Rusty-crowned Ground-Sparrow","RCGS",,"Melozone kieneri","MELKIE",
1860,,"Prevost's Ground-Sparrow","PRGS",,"Melozone biarcuata","MELBIA",
1861,,"White-eared Ground-Sparrow","WEGS",,"Melozone leucotis","MELLEU",
1862,,"Green-tailed Towhee","GTTO",,"Pipilo chlorurus","PIPCHL",
1863,,"Collared Towhee","COTO",,"Pipilo ocai","PIPOCA",
1864,,"Spotted Towhee","SPTO",,"Pipilo maculatus","PIPMAC",
1865,"+","Rufous-sided Towhee","RSTO",,"Pipilo maculatus/erythr.","PIPMAE",
1866,,"Eastern Towhee","EATO",,"Pipilo erythrophthalmus","PIPERP","*"
1867,,"White-throated Towhee","WTTO",,"Pipilo albicollis","PIPALB",
1868,,"Canyon Towhee","CANT","*","Pipilo fuscus","PIPFUS",
1869,,"California Towhee","CALT","*","Pipilo crissalis","PIPCRI",
1870,,"Abert's Towhee","ABTO",,"Pipilo aberti","PIPABE",
1871,,"Stripe-headed Sparrow","SHSP",,"Aimophila ruficauda","AIMRUD","*"
1872,,"Black-chested Sparrow","BCHS","*","Aimophila humeralis","AIMHUM",
1873,,"Bridled Sparrow","BRIS","*","Aimophila mystacalis","AIMMYS",
1874,,"Cinnamon-tailed Sparrow","CTSP",,"Aimophila sumichrasti","AIMSUM",
1875,,"Rufous-winged Sparrow","RWSP",,"Aimophila carpalis","AIMCAR",
1876,,"Cassin's Sparrow","CASP",,"Aimophila cassinii","AIMCAS",
1877,,"Bachman's Sparrow","BACS","*","Aimophila aestivalis","AIMAES",
1878,,"Botteri's Sparrow","BOSP",,"Aimophila botterii","AIMBOT",
1879,,"Rufous-crowned Sparrow","RCSP",,"Aimophila ruficeps","AIMRUP","*"
1880,,"Rusty Sparrow","RUSP",,"Aimophila rufescens","AIMRUS","*"
1881,,"Oaxaca Sparrow","OASP",,"Aimophila notosticta","AIMNOT",
1882,,"Five-striped Sparrow","FSSP",,"Aimophila quinquestriata","AIMQUI",
1883,,"Striped Sparrow","SSPA","**","Oriturus superciliosus","ORISUP",
1884,,"Zapata Sparrow","ZASP",,"Torreornis inexpectata","TORINE",
1885,,"American Tree Sparrow","ATSP",,"Spizella arborea","SPIARB",
1886,,"Chipping Sparrow","CHSP",,"Spizella passerina","SPIPAS",
1887,,"Clay-colored Sparrow","CCSP",,"Spizella pallida","SPIPAL",
1888,,"Brewer's Sparrow","BRSP",,"Spizella breweri","SPIBRE",
1889,,"Field Sparrow","FISP",,"Spizella pusilla","SPIPUS",
1890,,"Worthen's Sparrow","WOSP",,"Spizella wortheni","SPIWOR",
1891,,"Black-chinned Sparrow","BCSP",,"Spizella atrogularis","SPIATR",
1892,,"Vesper Sparrow","VESP",,"Pooecetes gramineus","POOGRA",
1893,,"Lark Sparrow","LASP",,"Chondestes grammacus","CHOGRA",
1894,,"Black-throated Sparrow","BTSP",,"Amphispiza bilineata","AMPBIL",
1895,,"Sage Sparrow","SAGS","*","Amphispiza belli","AMPBEL",
1896,,"Lark Bunting","LARB","*","Calamospiza melanocorys","CALMEC","*"
1897,,"Savannah Sparrow","SAVS","*","Passerculus sandwichensis","PASSAN",
1898,"+","Ipswich Sparrow","IPSP",,"Passerculus s. princeps","PASSPR",
1899,"+","Belding's Savannah Sparrow","BSSP",,"Passerculus s. beldingi","PASSBE",
1900,"+","Large-billed Sparrow","LBSP",,"Passerculus s. rostratus","PASSRO",
1901,,"Grasshopper Sparrow","GRSP",,"Ammodramus savannarum","AMMSAV",
1902,"+","Florida Grasshopper Sparrow","FGSP",,"Ammodramus s. floridanus","AMMSFL",
1903,,"Baird's Sparrow","BAIS","*","Ammodramus bairdii","AMMBAI",
1904,,"Henslow's Sparrow","HESP",,"Ammodramus henslowii","AMMHEN",
1905,,"Le Conte's Sparrow","LCSP",,"Ammodramus leconteii","AMMLEC",
1906,,"Nelson's Sharp-tailed Sparrow","NSTS",,"Ammodramus nelsoni","AMMNEL",
1907,"+","Sharp-tailed Sparrow","STSP",,"Ammodramus nelsoni/caudacut.","AMMNEC",
1908,,"Saltmarsh Sharp-tailed Sparrow","SSTS",,"Ammodramus caudacutus","AMMCAU",
1909,,"Seaside Sparrow","SESP",,"Ammodramus maritimus","AMMMAR",
1910,"+","Dusky Seaside-Sparrow","DUSS",,"Ammodramus m. nigrescens","AMMMNI",
1911,"+","Cape Sable Seaside-Sparrow","CSSS",,"Ammodramus m. mirabilis","AMMMMI",
1912,,"Sierra Madre Sparrow","SMSP",,"Xenospiza baileyi","XENBAI",
1913,,"Fox Sparrow","FOSP",,"Passerella iliaca","PASILI",
1914,,"Song Sparrow","SOSP",,"Melospiza melodia","MELMEL",
1915,,"Lincoln's Sparrow","LISP",,"Melospiza lincolnii","MELLIN",
1916,,"Swamp Sparrow","SWSP",,"Melospiza georgiana","MELGEO",
1917,,"Rufous-collared Sparrow","RCOS","*","Zonotrichia capensis","ZONCAP",
1918,,"White-throated Sparrow","WTSP",,"Zonotrichia albicollis","ZONALB",
1919,,"Harris's Sparrow","HASP",,"Zonotrichia querula","ZONQUE",
1920,,"White-crowned Sparrow","WCSP",,"Zonotrichia leucophrys","ZONLEU",
1921,"+","Eastern White-crowned Sparrow","EWCS",,"Zonotrichia l. leucophrys","ZONLLE",
1922,"+","Mountain White-crowned Sparrow","MWCS",,"Zonotrichia l. oriantha","ZONLOR",
1923,"+","Gambel's White-crowned Sparrow","GWCS",,"Zonotrichia l. gambelii","ZONLGA",
1924,"+","Puget Sound White-crowned Sparrow","PSWS",,"Zonotrichia l. pugetensis","ZONLPU",
1925,"+","Nuttall's White-crowned Sparrow","NWCS",,"Zonotrichia l. nuttalli","ZONLNU",
1926,"+","White-cr. X Golden-cr. Sparrow Hybrid","WGSH",,"Zonotrichia leuc. x atricap.","ZONLEA",
1927,,"Golden-crowned Sparrow","GCSP",,"Zonotrichia atricapilla","ZONATR",
1928,,"Volcano Junco","VOJU",,"Junco vulcani","JUNVUL",
1929,,"Dark-eyed Junco","DEJU",,"Junco hyemalis","JUNHYE",
1930,"+","Slate-colored Junco","SCJU",,"Junco h. hyemalis","JUNHHY",
1931,"+","White-winged Junco","WWJU",,"Junco h. aikeni","JUNHAI",
1932,"+","Oregon Junco","ORJU",,"Junco h. oregonus","JUNHOR",
1933,"+","Gray-headed Junco","GHJU",,"Junco h. caniceps","JUNNCA",
1934,,"Yellow-eyed Junco","YEJU",,"Junco phaeonotus","JUNPHA",
1935,"+","Unidentified Sparrow","UNSP",,"Emberizidae (gen, sp)","EMBGSP",
1936,,"McCown's Longspur","MCLO",,"Calcarius mccownii","CALMCC",
1937,,"Lapland Longspur","LALO",,"Calcarius lapponicus","CALLAP",
1938,,"Smith's Longspur","SMLO",,"Calcarius pictus","CALPIC",
1939,,"Chestnut-collared Longspur","CCLO",,"Calcarius ornatus","CALORN",
1940,,"Pine Bunting","PIBU",,"Emberiza leucocephalos","EMBLEU",
1941,,"Little Bunting","LIBU",,"Emberiza pusilla","EMBPUS",
1942,,"Rustic Bunting","RUBU",,"Emberiza rustica","EMBRUS",
1943,,"Yellow-throated Bunting","YTBU",,"Emberiza elegans","EMBELE",
1944,,"Yellow-breasted Bunting","YBBU",,"Emberiza aureola","EMBAUR",
1945,,"Gray Bunting","GRBU",,"Emberiza variabilis","EMBVAR",
1946,,"Pallas's Bunting","PALB","*","Emberiza pallasi","EMBPAL",
1947,,"Reed Bunting","REBU",,"Emberiza schoeniclus","EMBSCH",
1948,,"Snow Bunting","SNBU",,"Plectrophenax nivalis","PLENIV",
1949,,"McKay's Bunting","MKBU",,"Plectrophenax hyperboreus","PLEHYP",
1950,,"Lesser Antillean Saltator","LASA",,"Saltator albicollis","SALALB",
1951,,"Streaked Saltator","SSAL","**","Saltator striatipectus","SALSTR",
1952,,"Grayish Saltator","GRAS","*","Saltator coerulescens","SALCOE",
1953,,"Buff-throated Saltator","BTSA",,"Saltator maximus","SALMAX",
1954,,"Black-headed Saltator","BHSA",,"Saltator atriceps","SALATR",
1955,,"Slate-colored Grosbeak","SCOG","*","Saltator grossus","SALGRO",
1956,,"Black-faced Grosbeak","BFAG","*","Caryothraustes poliogaster","CARPOL",
1957,,"Yellow-green Grosbeak","YGGR",,"Caryothraustes canadensis","CARCAN",
1958,,"Crimson-collared Grosbeak","CCGR",,"Rhodothraupis celaeno","RHOCEL",
1959,,"Northern Cardinal","NOCA",,"Cardinalis cardinalis","CARCAI","*"
1960,,"Pyrrhuloxia","PYRR",,"Cardinalis sinuatus","CARSIT","*"
1961,,"Yellow Grosbeak","YEGR",,"Pheucticus chrysopeplus","PHECHR",
1962,,"Black-thighed Grosbeak","BTGG","**","Pheucticus tibialis","PHETIB",
1963,,"Rose-breasted Grosbeak","RBGR",,"Pheucticus ludovicianus","PHELUD",
1964,,"Black-headed Grosbeak","BHGR",,"Pheucticus melanocephalus","PHEMEL",
1965,,"Blue-black Grosbeak","BGRO","**","Cyanocompsa cyanoides","CYACYD","*"
1966,,"Blue Bunting","BLBU",,"Cyanocompsa parellina","CYAPAR",
1967,,"Blue Grosbeak","BLGR",,"Passerina caerulea","PASCAE",
1968,,"Lazuli Bunting","LAZB","*","Passerina amoena","PASAMO",
1969,"+","Lazuli x Indigo Bunting Hybrid","LIBH",,"Passerina amoena x cyanea","PASAMC",
1970,,"Indigo Bunting","INBU",,"Passerina cyanea","PASCYA",
1971,,"Rose-bellied Bunting","RBBU",,"Passerina rositae","PASROS",
1972,,"Orange-breasted Bunting","OBBU",,"Passerina leclancherii","PASLEC",
1973,,"Varied Bunting","VABU",,"Passerina versicolor","PASVER",
1974,,"Painted Bunting","PABU",,"Passerina ciris","PASCIR",
1975,,"Dickcissel","DICK",,"Spiza americana","SPIAME",
1976,,"Bobolink","BOBO",,"Dolichonyx oryzivorus","DOLORY",
1977,,"Red-winged Blackbird","RWBL",,"Agelaius phoeniceus","AGEPHO",
1978,,"Red-shouldered Blackbird","RSBL",,"Agelaius assimilis","AGEASS",
1979,,"Tricolored Blackbird","TRBL",,"Agelaius tricolor","AGETRI",
1980,,"Tawny-shouldered Blackbird","TSBL",,"Agelaius humeralis","AGEHUM",
1981,,"Yellow-shouldered Blackbird","YSBL",,"Agelaius xanthomus","AGEXAN",
1982,,"Jamaican Blackbird","JABL",,"Nesopsar nigerrimus","NESNIG",
1983,,"Red-breasted Blackbird","RBBL",,"Sturnella militaris","STUMIL",
1984,,"Eastern Meadowlark","EAME",,"Sturnella magna","STUMAG",
1985,,"Western Meadowlark","WEME",,"Sturnella neglecta","STUNEG",
1986,,"Yellow-headed Blackbird","YHBL",,"Xanthocephalus xanthocephalus","XANXAN",
1987,,"Melodious Blackbird","MEBL",,"Dives dives","DIVDIV",
1988,,"Cuban Blackbird","CUBL",,"Dives atroviolaceus","DIVATR",
1989,,"Rusty Blackbird","RUBL",,"Euphagus carolinus","EUPCAR",
1990,,"Brewer's Blackbird","BRBL",,"Euphagus cyanocephalus","EUPCYC","*"
1991,,"Common Grackle","COGR",,"Quiscalus quiscula","QUIQUI",
1992,,"Boat-tailed Grackle","BTGR",,"Quiscalus major","QUIMAJ",
1993,,"Great-tailed Grackle","GTGR",,"Quiscalus mexicanus","QUIMEX",
1994,,"Slender-billed Grackle","SBGR",,"Quiscalus palustris","QUIPAL",
1995,,"Nicaraguan Grackle","NIGR",,"Quiscalus nicaraguensis","QUINIC",
1996,,"Greater Antillean Grackle","GAGR",,"Quiscalus niger","QUINIG",
1997,,"Carib Grackle","CAGR",,"Quiscalus lugubris","QUILUG",
1998,,"Shiny Cowbird","SHCO",,"Molothrus bonariensis","MOLBON",
1999,,"Bronzed Cowbird","BROC","*","Molothrus aeneus","MOLAEN",
2000,,"Brown-headed Cowbird","BHCO",,"Molothrus ater","MOLATE",
2001,,"Giant Cowbird","GICO",,"Molothrus oryzivorus","MOLORY",
2002,"+","Unidentified Blackbird","UNBL",,"Icteridae (gen, sp)","ICTGSP",
2003,,"Greater Antillean Oriole","GAOR",,"Icterus dominicensis","ICTDOM",
2004,,"St. Lucia Oriole","SLOR",,"Icterus laudabilis","ICTLAU",
2005,,"Montserrat Oriole","MORI","**","Icterus oberi","ICTOBE",
2006,,"Martinique Oriole","MAOR",,"Icterus bonana","ICTBON",
2007,,"Black-vented Oriole","BVOR",,"Icterus wagleri","ICTWAG",
2008,,"Bar-winged Oriole","BWOR",,"Icterus maculialatus","ICTMAC",
2009,,"Black-cowled Oriole","BCOR",,"Icterus prosthemelas","ICTPRO",
2010,,"Orchard Oriole","OROR",,"Icterus spurius","ICTSPU",
2011,,"Hooded Oriole","HOOR",,"Icterus cucullatus","ICTCUC",
2012,,"Yellow-backed Oriole","YBOR",,"Icterus chrysater","ICTCHR",
2013,,"Orange-crowned Oriole","OCOR",,"Icterus auricapillus","ICTAUC","*"
2014,,"Yellow-tailed Oriole","YTOR",,"Icterus mesomelas","ICTMES",
2015,,"Troupial","TROU",,"Icterus icterus","ICTICT",
2016,,"Streak-backed Oriole","SBAO","*","Icterus pustulatus","ICTPUS",
2017,,"Bullock's Oriole","BUOR",,"Icterus bullockii","ICTBUL",
2018,"+","Bullock's x Baltimore Oriole Hybrid","BBOH",,"Icterus bullockii  x galb.","ICTBUG",
2019,,"Orange Oriole","ORAO","*","Icterus auratus","ICTAUT","*"
2020,,"Jamaican Oriole","JAOR",,"Icterus leucopteryx","ICTLEU",
2021,,"Spot-breasted Oriole","SBOR",,"Icterus pectoralis","ICTPEC",
2022,,"Altamira Oriole","ALOR",,"Icterus gularis","ICTGUL",
2023,,"Audubon's Oriole","AUOR",,"Icterus graduacauda","ICTGRA",
2024,,"Baltimore Oriole","BAOR",,"Icterus galbula","ICTGAL",
2025,,"Black-backed Oriole","BBOR",,"Icterus abeillei","ICTABE",
2026,,"Scott's Oriole","SCOR",,"Icterus parisorum","ICTPAR",
2027,,"Yellow-billed Cacique","YBIC","*","Amblycercus holosericeus","AMBHOL",
2028,,"Scarlet-rumped Cacique","SRCA",,"Cacicus uropygialis","CACURO",
2029,,"Yellow-rumped Cacique","YRCA",,"Cacicus cela","CACCEL",
2030,,"Yellow-winged Cacique","YWCA",,"Cacicus melanicterus","CACMEL",
2031,,"Crested Oropendola","CROR",,"Psarocolius decumanus","PSADEC",
2032,,"Chestnut-headed Oropendola","CHOR",,"Psarocolius wagleri","PSAWAG",
2033,,"Montezuma Oropendola","MOTO","**","Psarocolius montezuma","PSAMON",
2034,,"Black Oropendola","BLOR",,"Psarocolius guatimozinus","PSAGUA",
2035,,"Common Chaffinch","COCH",,"Fringilla coelebs","FRICOE",
2036,,"Brambling","BRAM",,"Fringilla montifringilla","FRIMON",
2037,,"Jamaican Euphonia","JAEU",,"Euphonia jamaica","EUPJAM",
2038,,"Scrub Euphonia","SEUP","**","Euphonia affinis","EUPAFF",
2039,,"Yellow-crowned Euphonia","YCEU",,"Euphonia luteicapilla","EUPLUT",
2040,,"Thick-billed Euphonia","TBEU",,"Euphonia laniirostris","EUPLAN",
2041,,"Yellow-throated Euphonia","YTEU",,"Euphonia hirundinacea","EUPHIR",
2042,,"Antillean Euphonia","ANEU",,"Euphonia musica","EUPMUS",
2043,,"Elegant Euphonia","ELEU",,"Euphonia elegantissima","EUPELE",
2044,,"Fulvous-vented Euphonia","FVEU",,"Euphonia fulvicrissa","EUPFUL",
2045,,"Spot-crowned Euphonia","SPCE","**","Euphonia imitans","EUPIMI",
2046,,"Olive-backed Euphonia","OBAE","*","Euphonia gouldi","EUPGOU",
2047,,"White-vented Euphonia","WVEU",,"Euphonia minuta","EUPMIN",
2048,,"Tawny-capped Euphonia","TCEU",,"Euphonia anneae","EUPANN",
2049,,"Orange-bellied Euphonia","OBEE","*","Euphonia xanthogaster","EUPXAN",
2050,,"Yellow-collared Chlorophonia","YCCH",,"Chlorophonia flavirostris","CHLFLR","*"
2051,,"Blue-crowned Chlorophonia","BCRC","*","Chlorophonia occipitalis","CHLOCC",
2052,,"Golden-browed Chlorophonia","GBCH",,"Chlorophonia callophrys","CHLCAL",
2053,,"Gray-crowned Rosy-Finch","GCRF",,"Leucosticte tephrocotis","LEUTEP",
2054,,"Black Rosy-Finch","BLRF",,"Leucosticte atrata","LEUATR",
2055,,"Brown-capped Rosy-Finch","BCRF",,"Leucosticte australis","LEUAUS",
2056,,"Pine Grosbeak","PIGR",,"Pinicola enucleator","PINENU",
2057,,"Common Rosefinch","CORO",,"Carpodacus erythrinus","CARERY",
2058,,"Purple Finch","PUFI",,"Carpodacus purpureus","CARPUR",
2059,,"Cassin's Finch","CAFI",,"Carpodacus cassinii","CARCAS",
2060,,"House Finch","HOFI",,"Carpodacus mexicanus","CARMEX",
2061,"+","Unidentified Carpodacus Finch","UCFI",,"Carpodacus (sp)","CARSPE",
2062,,"Red Crossbill","RECR",,"Loxia curvirostra","LOXCUR",
2063,,"Hispaniolan Crossbill","HICR",,"Loxia megaplaga","LOXMEG",
2064,,"White-winged Crossbill","WWCR",,"Loxia leucoptera","LOXLEU",
2065,,"Common Redpoll","CORE",,"Carduelis flammea","CARFLA",
2066,"+","Common/Hoary Redpoll","CHRE",,"Carduelis flamm./hornemanni","CARFLH",
2067,,"Hoary Redpoll","HORE",,"Carduelis hornemanni","CARHOR",
2068,,"Eurasian Siskin","EUSI",,"Carduelis spinus","CARSPI",
2069,,"Pine Siskin","PISI",,"Carduelis pinus","CARPIN",
2070,,"Black-capped Siskin","BCSI",,"Carduelis atriceps","CARATR",
2071,,"Black-headed Siskin","BHSI",,"Carduelis notata","CARNOT",
2072,,"Yellow-bellied Siskin","YBSI",,"Carduelis xanthogastra","CARXAN",
2073,,"Red Siskin","RESI",,"Carduelis cucullata","CARCUC",
2074,,"Antillean Siskin","ANSI",,"Carduelis dominicensis","CARDOM",
2075,,"Lesser Goldfinch","LEGO",,"Carduelis psaltria","CARPSA",
2076,,"Lawrence's Goldfinch","LAGO",,"Carduelis lawrencei","CARLAW",
2077,,"American Goldfinch","AMGO",,"Carduelis tristis","CARTRI",
2078,,"European Goldfinch","EUGO",,"Carduelis carduelis","CARCAU","*"
2079,,"Oriental Greenfinch","ORGR",,"Carduelis sinica","CARSIC","*"
2080,,"Yellow-fronted Canary","YFCA",,"Serinus mozambicus","SERMOZ",
2081,,"Common Canary","COCA",,"Serinus canaria","SERCAN",
2082,,"Eurasian Bullfinch","EUBU",,"Pyrrhula pyrrhula","PYRPYR",
